stage,render,prompt,evaluator_id,n_items_both_directional,consistent_share,agrees_with_both_share,disagrees_with_both_share,pair_subset
2_dpo,native,stance_first,faulborn_nli_zeroshot,88,0.7955,0.0795,0.125,all_pairs
2_dpo,raw,opinion,faulborn_nli_reconstructed_as_written_seed42,22,0.4545,0.5455,0.0,all_pairs
2_dpo,raw,opinion,faulborn_nli_reconstructed_as_written_seed43,18,0.3333,0.6667,0.0,all_pairs
2_dpo,raw,opinion,faulborn_nli_reconstructed_as_written_seed44,20,0.55,0.45,0.0,all_pairs
2_dpo,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed42,18,0.3889,0.6111,0.0,all_pairs
2_dpo,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed43,18,0.3333,0.6667,0.0,all_pairs
2_dpo,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed44,19,0.3684,0.6316,0.0,all_pairs
2_dpo,raw,opinion,faulborn_nli_zeroshot,28,0.3929,0.4643,0.1429,all_pairs
2_dpo,raw,please_respond,deterministic_stance_v1,12,0.5833,0.4167,0.0,all_pairs
2_dpo,raw,please_respond,faulborn_nli_reconstructed_as_written_seed42,72,0.4861,0.4722,0.0417,all_pairs
2_dpo,raw,please_respond,faulborn_nli_reconstructed_as_written_seed43,71,0.4648,0.493,0.0423,all_pairs
2_dpo,raw,please_respond,faulborn_nli_reconstructed_as_written_seed44,71,0.5211,0.4507,0.0282,all_pairs
2_dpo,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,69,0.5362,0.4348,0.029,all_pairs
2_dpo,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed43,71,0.507,0.4507,0.0423,all_pairs
2_dpo,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed44,71,0.5211,0.4507,0.0282,all_pairs
2_dpo,raw,please_respond,faulborn_nli_zeroshot,82,0.5,0.3659,0.1341,all_pairs
2_dpo,raw,stance_first,deterministic_stance_v1,2,0.5,0.5,0.0,all_pairs
2_dpo,raw,stance_first,faulborn_nli_reconstructed_as_written_seed42,61,0.623,0.3279,0.0492,all_pairs
2_dpo,raw,stance_first,faulborn_nli_reconstructed_as_written_seed43,59,0.6271,0.339,0.0339,all_pairs
2_dpo,raw,stance_first,faulborn_nli_reconstructed_as_written_seed44,60,0.6667,0.2833,0.05,all_pairs
2_dpo,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed42,59,0.6271,0.3051,0.0678,all_pairs
2_dpo,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed43,59,0.6271,0.339,0.0339,all_pairs
2_dpo,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed44,57,0.6316,0.3158,0.0526,all_pairs
2_dpo,raw,stance_first,faulborn_nli_zeroshot,66,0.5909,0.2879,0.1212,all_pairs
3_rlvr2,native,opinion,faulborn_nli_reconstructed_as_written_seed42,16,0.9375,0.0,0.0625,all_pairs
3_rlvr2,native,opinion,faulborn_nli_reconstructed_as_written_seed43,20,0.9,0.1,0.0,all_pairs
3_rlvr2,native,opinion,faulborn_nli_reconstructed_as_written_seed44,16,0.9375,0.0625,0.0,all_pairs
3_rlvr2,native,opinion,faulborn_nli_reconstructed_leakage_free_seed42,12,1.0,0.0,0.0,all_pairs
3_rlvr2,native,opinion,faulborn_nli_reconstructed_leakage_free_seed43,17,0.9412,0.0588,0.0,all_pairs
3_rlvr2,native,opinion,faulborn_nli_reconstructed_leakage_free_seed44,15,0.9333,0.0,0.0667,all_pairs
3_rlvr2,native,opinion,faulborn_nli_zeroshot,88,0.5568,0.0795,0.3636,all_pairs
3_rlvr2,native,please_respond,faulborn_nli_reconstructed_as_written_seed42,10,1.0,0.0,0.0,all_pairs
3_rlvr2,native,please_respond,faulborn_nli_reconstructed_as_written_seed43,12,0.9167,0.0,0.0833,all_pairs
3_rlvr2,native,please_respond,faulborn_nli_reconstructed_as_written_seed44,13,1.0,0.0,0.0,all_pairs
3_rlvr2,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,11,0.9091,0.0,0.0909,all_pairs
3_rlvr2,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed43,10,1.0,0.0,0.0,all_pairs
3_rlvr2,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed44,12,0.75,0.0833,0.1667,all_pairs
3_rlvr2,native,please_respond,faulborn_nli_zeroshot,87,0.5632,0.0575,0.3793,all_pairs
3_rlvr2,native,stance_first,deterministic_stance_v1,53,0.8302,0.0755,0.0943,all_pairs
3_rlvr2,native,stance_first,faulborn_nli_reconstructed_as_written_seed42,84,0.75,0.0714,0.1786,all_pairs
3_rlvr2,native,stance_first,faulborn_nli_reconstructed_as_written_seed43,87,0.7356,0.092,0.1724,all_pairs
3_rlvr2,native,stance_first,faulborn_nli_reconstructed_as_written_seed44,87,0.7471,0.0805,0.1724,all_pairs
3_rlvr2,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed42,84,0.75,0.0714,0.1786,all_pairs
3_rlvr2,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed43,85,0.7412,0.0941,0.1647,all_pairs
3_rlvr2,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed44,84,0.75,0.0714,0.1786,all_pairs
3_rlvr2,native,stance_first,faulborn_nli_zeroshot,88,0.75,0.0795,0.1705,all_pairs
3_rlvr2,raw,opinion,deterministic_stance_v1,2,0.0,1.0,0.0,all_pairs
3_rlvr2,raw,opinion,faulborn_nli_reconstructed_as_written_seed42,23,0.3913,0.5652,0.0435,all_pairs
3_rlvr2,raw,opinion,faulborn_nli_reconstructed_as_written_seed43,19,0.4211,0.5263,0.0526,all_pairs
3_rlvr2,raw,opinion,faulborn_nli_reconstructed_as_written_seed44,25,0.44,0.48,0.08,all_pairs
3_rlvr2,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed42,21,0.4762,0.4762,0.0476,all_pairs
3_rlvr2,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed43,19,0.2632,0.6842,0.0526,all_pairs
3_rlvr2,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed44,21,0.381,0.5238,0.0952,all_pairs
3_rlvr2,raw,opinion,faulborn_nli_zeroshot,32,0.5625,0.2812,0.1562,all_pairs
3_rlvr2,raw,please_respond,deterministic_stance_v1,16,0.5,0.5,0.0,all_pairs
3_rlvr2,raw,please_respond,faulborn_nli_reconstructed_as_written_seed42,78,0.5513,0.3974,0.0513,all_pairs
3_rlvr2,raw,please_respond,faulborn_nli_reconstructed_as_written_seed43,76,0.5132,0.4474,0.0395,all_pairs
3_rlvr2,raw,please_respond,faulborn_nli_reconstructed_as_written_seed44,78,0.5,0.4487,0.0513,all_pairs
3_rlvr2,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,74,0.5,0.4595,0.0405,all_pairs
3_rlvr2,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed43,75,0.5733,0.4,0.0267,all_pairs
3_rlvr2,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed44,76,0.5526,0.4211,0.0263,all_pairs
3_rlvr2,raw,please_respond,faulborn_nli_zeroshot,83,0.5181,0.3614,0.1205,all_pairs
3_rlvr2,raw,stance_first,deterministic_stance_v1,2,1.0,0.0,0.0,all_pairs
3_rlvr2,raw,stance_first,faulborn_nli_reconstructed_as_written_seed42,62,0.6452,0.2419,0.1129,all_pairs
3_rlvr2,raw,stance_first,faulborn_nli_reconstructed_as_written_seed43,61,0.6066,0.2951,0.0984,all_pairs
3_rlvr2,raw,stance_first,faulborn_nli_reconstructed_as_written_seed44,63,0.6508,0.254,0.0952,all_pairs
3_rlvr2,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed42,57,0.6667,0.2105,0.1228,all_pairs
3_rlvr2,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed43,62,0.6452,0.2258,0.129,all_pairs
3_rlvr2,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed44,58,0.6552,0.2414,0.1034,all_pairs
3_rlvr2,raw,stance_first,faulborn_nli_zeroshot,68,0.6176,0.2206,0.1618,all_pairs
0_base,raw,opinion,faulborn_nli_reconstructed_as_written_seed42,3,0.3333,0.0,0.6667,A_and_B
0_base,raw,opinion,faulborn_nli_reconstructed_as_written_seed43,2,0.5,0.0,0.5,A_and_B
0_base,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed42,2,1.0,0.0,0.0,A_and_B
0_base,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed43,4,0.75,0.0,0.25,A_and_B
0_base,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed44,3,1.0,0.0,0.0,A_and_B
0_base,raw,opinion,faulborn_nli_zeroshot,38,0.4737,0.1579,0.3684,A_and_B
0_base,raw,please_respond,deterministic_stance_v1,1,0.0,1.0,0.0,A_and_B
0_base,raw,please_respond,faulborn_nli_reconstructed_as_written_seed42,1,0.0,1.0,0.0,A_and_B
0_base,raw,please_respond,faulborn_nli_reconstructed_as_written_seed43,1,0.0,1.0,0.0,A_and_B
0_base,raw,please_respond,faulborn_nli_reconstructed_as_written_seed44,1,0.0,1.0,0.0,A_and_B
0_base,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,1,0.0,1.0,0.0,A_and_B
0_base,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed43,1,0.0,1.0,0.0,A_and_B
0_base,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed44,1,0.0,1.0,0.0,A_and_B
0_base,raw,please_respond,faulborn_nli_zeroshot,62,0.3548,0.1774,0.4677,A_and_B
0_base,raw,stance_first,faulborn_nli_zeroshot,70,0.4714,0.3,0.2286,A_and_B
1_sft,native,opinion,faulborn_nli_reconstructed_as_written_seed42,9,0.8889,0.1111,0.0,A_and_B
1_sft,native,opinion,faulborn_nli_reconstructed_as_written_seed43,4,1.0,0.0,0.0,A_and_B
1_sft,native,opinion,faulborn_nli_reconstructed_as_written_seed44,7,0.7143,0.1429,0.1429,A_and_B
1_sft,native,opinion,faulborn_nli_reconstructed_leakage_free_seed42,7,0.7143,0.2857,0.0,A_and_B
1_sft,native,opinion,faulborn_nli_reconstructed_leakage_free_seed43,6,1.0,0.0,0.0,A_and_B
1_sft,native,opinion,faulborn_nli_reconstructed_leakage_free_seed44,6,0.8333,0.0,0.1667,A_and_B
1_sft,native,opinion,faulborn_nli_zeroshot,74,0.3784,0.1081,0.5135,A_and_B
1_sft,native,please_respond,faulborn_nli_reconstructed_as_written_seed42,19,0.8947,0.0526,0.0526,A_and_B
1_sft,native,please_respond,faulborn_nli_reconstructed_as_written_seed43,14,0.6429,0.2143,0.1429,A_and_B
1_sft,native,please_respond,faulborn_nli_reconstructed_as_written_seed44,17,0.8235,0.1176,0.0588,A_and_B
1_sft,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,17,0.8235,0.1176,0.0588,A_and_B
1_sft,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed43,13,0.6923,0.3077,0.0,A_and_B
1_sft,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed44,20,0.7,0.1,0.2,A_and_B
1_sft,native,please_respond,faulborn_nli_zeroshot,74,0.5405,0.0811,0.3784,A_and_B
1_sft,native,stance_first,deterministic_stance_v1,63,0.7778,0.0952,0.127,A_and_B
1_sft,native,stance_first,faulborn_nli_reconstructed_as_written_seed42,75,0.76,0.0933,0.1467,A_and_B
1_sft,native,stance_first,faulborn_nli_reconstructed_as_written_seed43,75,0.76,0.0933,0.1467,A_and_B
1_sft,native,stance_first,faulborn_nli_reconstructed_as_written_seed44,75,0.7333,0.0933,0.1733,A_and_B
1_sft,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed42,75,0.76,0.0933,0.1467,A_and_B
1_sft,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed43,75,0.76,0.0933,0.1467,A_and_B
1_sft,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed44,75,0.76,0.0933,0.1467,A_and_B
1_sft,native,stance_first,faulborn_nli_zeroshot,75,0.76,0.0933,0.1467,A_and_B
1_sft,raw,opinion,faulborn_nli_zeroshot,1,1.0,0.0,0.0,A_and_B
1_sft,raw,please_respond,faulborn_nli_reconstructed_as_written_seed42,5,0.8,0.2,0.0,A_and_B
1_sft,raw,please_respond,faulborn_nli_reconstructed_as_written_seed43,7,0.5714,0.4286,0.0,A_and_B
1_sft,raw,please_respond,faulborn_nli_reconstructed_as_written_seed44,8,0.75,0.25,0.0,A_and_B
1_sft,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,7,0.7143,0.2857,0.0,A_and_B
1_sft,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed43,6,0.6667,0.3333,0.0,A_and_B
1_sft,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed44,7,0.5714,0.2857,0.1429,A_and_B
1_sft,raw,please_respond,faulborn_nli_zeroshot,20,0.5,0.35,0.15,A_and_B
1_sft,raw,stance_first,faulborn_nli_reconstructed_as_written_seed42,6,0.5,0.5,0.0,A_and_B
1_sft,raw,stance_first,faulborn_nli_reconstructed_as_written_seed43,3,0.6667,0.3333,0.0,A_and_B
1_sft,raw,stance_first,faulborn_nli_reconstructed_as_written_seed44,8,0.625,0.375,0.0,A_and_B
1_sft,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed42,7,0.2857,0.5714,0.1429,A_and_B
1_sft,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed43,4,0.5,0.5,0.0,A_and_B
1_sft,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed44,3,0.3333,0.6667,0.0,A_and_B
1_sft,raw,stance_first,faulborn_nli_zeroshot,25,0.28,0.32,0.4,A_and_B
2_dpo,native,opinion,faulborn_nli_reconstructed_as_written_seed42,13,1.0,0.0,0.0,A_and_B
2_dpo,native,opinion,faulborn_nli_reconstructed_as_written_seed43,12,1.0,0.0,0.0,A_and_B
2_dpo,native,opinion,faulborn_nli_reconstructed_as_written_seed44,12,1.0,0.0,0.0,A_and_B
2_dpo,native,opinion,faulborn_nli_reconstructed_leakage_free_seed42,10,1.0,0.0,0.0,A_and_B
2_dpo,native,opinion,faulborn_nli_reconstructed_leakage_free_seed43,13,1.0,0.0,0.0,A_and_B
2_dpo,native,opinion,faulborn_nli_reconstructed_leakage_free_seed44,13,1.0,0.0,0.0,A_and_B
2_dpo,native,opinion,faulborn_nli_zeroshot,74,0.5676,0.0405,0.3919,A_and_B
2_dpo,native,please_respond,faulborn_nli_reconstructed_as_written_seed42,14,1.0,0.0,0.0,A_and_B
2_dpo,native,please_respond,faulborn_nli_reconstructed_as_written_seed43,14,0.8571,0.1429,0.0,A_and_B
2_dpo,native,please_respond,faulborn_nli_reconstructed_as_written_seed44,15,0.8667,0.0667,0.0667,A_and_B
2_dpo,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,11,0.7273,0.0,0.2727,A_and_B
2_dpo,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed43,14,0.8571,0.1429,0.0,A_and_B
2_dpo,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed44,13,0.9231,0.0769,0.0,A_and_B
2_dpo,native,please_respond,faulborn_nli_zeroshot,74,0.6081,0.0676,0.3243,A_and_B
2_dpo,native,stance_first,deterministic_stance_v1,43,0.8837,0.0233,0.093,A_and_B
2_dpo,native,stance_first,faulborn_nli_reconstructed_as_written_seed42,70,0.7857,0.0714,0.1429,A_and_B
2_dpo,native,stance_first,faulborn_nli_reconstructed_as_written_seed43,74,0.7838,0.0811,0.1351,A_and_B
2_dpo,native,stance_first,faulborn_nli_reconstructed_as_written_seed44,74,0.7568,0.0811,0.1622,A_and_B
2_dpo,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed42,69,0.7971,0.0725,0.1304,A_and_B
2_dpo,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed43,74,0.7703,0.0946,0.1351,A_and_B
2_dpo,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed44,71,0.7887,0.0704,0.1408,A_and_B
2_dpo,native,stance_first,faulborn_nli_zeroshot,75,0.7867,0.08,0.1333,A_and_B
2_dpo,raw,opinion,faulborn_nli_reconstructed_as_written_seed42,18,0.3889,0.6111,0.0,A_and_B
2_dpo,raw,opinion,faulborn_nli_reconstructed_as_written_seed43,15,0.2667,0.7333,0.0,A_and_B
2_dpo,raw,opinion,faulborn_nli_reconstructed_as_written_seed44,15,0.4667,0.5333,0.0,A_and_B
2_dpo,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed42,14,0.2857,0.7143,0.0,A_and_B
2_dpo,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed43,15,0.2667,0.7333,0.0,A_and_B
2_dpo,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed44,16,0.3125,0.6875,0.0,A_and_B
2_dpo,raw,opinion,faulborn_nli_zeroshot,23,0.3043,0.5217,0.1739,A_and_B
2_dpo,raw,please_respond,deterministic_stance_v1,10,0.6,0.4,0.0,A_and_B
2_dpo,raw,please_respond,faulborn_nli_reconstructed_as_written_seed42,61,0.4754,0.4754,0.0492,A_and_B
2_dpo,raw,please_respond,faulborn_nli_reconstructed_as_written_seed43,59,0.4407,0.5085,0.0508,A_and_B
2_dpo,raw,please_respond,faulborn_nli_reconstructed_as_written_seed44,59,0.5085,0.4576,0.0339,A_and_B
2_dpo,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,58,0.5345,0.431,0.0345,A_and_B
2_dpo,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed43,60,0.4833,0.4667,0.05,A_and_B
2_dpo,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed44,59,0.5085,0.4576,0.0339,A_and_B
2_dpo,raw,please_respond,faulborn_nli_zeroshot,69,0.5217,0.3623,0.1159,A_and_B
2_dpo,raw,stance_first,deterministic_stance_v1,2,0.5,0.5,0.0,A_and_B
2_dpo,raw,stance_first,faulborn_nli_reconstructed_as_written_seed42,51,0.6471,0.3137,0.0392,A_and_B
2_dpo,raw,stance_first,faulborn_nli_reconstructed_as_written_seed43,48,0.6458,0.3333,0.0208,A_and_B
2_dpo,raw,stance_first,faulborn_nli_reconstructed_as_written_seed44,50,0.7,0.26,0.04,A_and_B
2_dpo,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed42,49,0.6531,0.2857,0.0612,A_and_B
2_dpo,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed43,49,0.6531,0.3265,0.0204,A_and_B
2_dpo,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed44,47,0.6596,0.2979,0.0426,A_and_B
2_dpo,raw,stance_first,faulborn_nli_zeroshot,55,0.6,0.2909,0.1091,A_and_B
3_rlvr2,native,opinion,faulborn_nli_reconstructed_as_written_seed42,15,0.9333,0.0,0.0667,A_and_B
3_rlvr2,native,opinion,faulborn_nli_reconstructed_as_written_seed43,18,0.9444,0.0556,0.0,A_and_B
3_rlvr2,native,opinion,faulborn_nli_reconstructed_as_written_seed44,14,1.0,0.0,0.0,A_and_B
3_rlvr2,native,opinion,faulborn_nli_reconstructed_leakage_free_seed42,12,1.0,0.0,0.0,A_and_B
3_rlvr2,native,opinion,faulborn_nli_reconstructed_leakage_free_seed43,15,1.0,0.0,0.0,A_and_B
3_rlvr2,native,opinion,faulborn_nli_reconstructed_leakage_free_seed44,14,0.9286,0.0,0.0714,A_and_B
