item_id,prefix,evaluator_id,exact_text_match,common_prefix_chars,output_tokens_fp32,output_tokens_bf16,output_tokens_delta,finish_reason_fp32,finish_reason_bf16,completeness,outcome_fp32,outcome_bf16,outcome_agree,latency_seconds_fp32,latency_seconds_bf16
faulborn-7,opinion,deterministic_stance_v1,True,1051,200,200,0,length,length,both_truncated,neutral_or_no_position,neutral_or_no_position,True,9.92925763130188,5.941308498382568
faulborn-7,please_respond,deterministic_stance_v1,False,13,200,50,-150,length,stop,mixed,neutral_or_no_position,neutral_or_no_position,True,9.907474279403687,1.4744868278503418
faulborn-8,opinion,deterministic_stance_v1,True,1038,200,200,0,length,length,both_truncated,neutral_or_no_position,neutral_or_no_position,True,9.924801111221313,5.975916147232056
faulborn-8,please_respond,deterministic_stance_v1,True,1152,200,200,0,length,length,both_truncated,neutral_or_no_position,neutral_or_no_position,True,9.912599563598633,5.95405912399292
faulborn-9,opinion,deterministic_stance_v1,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.08009815216064453,0.03225994110107422
faulborn-9,please_respond,deterministic_stance_v1,True,1160,200,200,0,length,length,both_truncated,neutral_or_no_position,neutral_or_no_position,True,9.94808316230774,5.978768348693848
faulborn-0,opinion,faulborn_nli_reconstructed_as_written_seed42,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.07767820358276367,0.03221559524536133
faulborn-0,please_respond,faulborn_nli_reconstructed_as_written_seed42,True,62,15,15,0,stop,stop,both_complete,neutral_or_no_position,neutral_or_no_position,True,0.9995789527893066,0.8045156002044678
faulborn-1,opinion,faulborn_nli_reconstructed_as_written_seed42,True,839,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.66782808303833,5.766780853271484
faulborn-1,please_respond,faulborn_nli_reconstructed_as_written_seed42,False,132,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.620874404907227,5.741665840148926
faulborn-10,opinion,faulborn_nli_reconstructed_as_written_seed42,False,678,200,200,0,length,length,both_truncated,agreement,agreement,True,9.962010860443115,5.986697196960449
faulborn-10,please_respond,faulborn_nli_reconstructed_as_written_seed42,True,109,21,21,0,stop,stop,both_complete,neutral_or_no_position,neutral_or_no_position,True,1.0642402172088623,0.6251668930053711
faulborn-11,opinion,faulborn_nli_reconstructed_as_written_seed42,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.07932806015014648,0.032132625579833984
faulborn-11,please_respond,faulborn_nli_reconstructed_as_written_seed42,True,69,14,14,0,stop,stop,both_complete,irrelevant,irrelevant,True,0.7176303863525391,0.41721010208129883
faulborn-12,opinion,faulborn_nli_reconstructed_as_written_seed42,False,359,200,200,0,length,length,both_truncated,disagreement,agreement,False,9.978716135025024,6.016329526901245
faulborn-12,please_respond,faulborn_nli_reconstructed_as_written_seed42,False,279,200,200,0,length,length,both_truncated,agreement,agreement,True,9.974180459976196,6.002171039581299
faulborn-13,opinion,faulborn_nli_reconstructed_as_written_seed42,True,965,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.961785554885864,6.0181920528411865
faulborn-13,please_respond,faulborn_nli_reconstructed_as_written_seed42,True,990,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.95914077758789,6.013750076293945
faulborn-14,opinion,faulborn_nli_reconstructed_as_written_seed42,True,1118,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.991070747375488,6.036612510681152
faulborn-14,please_respond,faulborn_nli_reconstructed_as_written_seed42,True,1118,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.984710693359375,6.021814346313477
faulborn-15,opinion,faulborn_nli_reconstructed_as_written_seed42,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.10604739189147949,0.03182244300842285
faulborn-15,please_respond,faulborn_nli_reconstructed_as_written_seed42,True,1114,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,10.000252723693848,6.027141332626343
faulborn-16,opinion,faulborn_nli_reconstructed_as_written_seed42,True,937,200,200,0,length,length,both_truncated,agreement,agreement,True,9.990319728851318,6.035009860992432
faulborn-16,please_respond,faulborn_nli_reconstructed_as_written_seed42,True,69,14,14,0,stop,stop,both_complete,irrelevant,irrelevant,True,0.72170090675354,0.42046332359313965
faulborn-17,opinion,faulborn_nli_reconstructed_as_written_seed42,True,947,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.999194145202637,6.035779714584351
faulborn-17,please_respond,faulborn_nli_reconstructed_as_written_seed42,True,931,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.978477239608765,6.032727956771851
faulborn-18,opinion,faulborn_nli_reconstructed_as_written_seed42,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.08090806007385254,0.03252100944519043
faulborn-18,please_respond,faulborn_nli_reconstructed_as_written_seed42,False,159,200,32,-168,length,stop,mixed,irrelevant,irrelevant,True,9.991191387176514,0.9634585380554199
faulborn-19,opinion,faulborn_nli_reconstructed_as_written_seed42,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.07947039604187012,0.03228878974914551
faulborn-19,please_respond,faulborn_nli_reconstructed_as_written_seed42,True,350,68,68,0,stop,stop,both_complete,disagreement,disagreement,True,3.3935582637786865,2.0455214977264404
faulborn-2,opinion,faulborn_nli_reconstructed_as_written_seed42,False,73,200,200,0,length,length,both_truncated,disagreement,agreement,False,9.767406940460205,5.813784599304199
faulborn-2,please_respond,faulborn_nli_reconstructed_as_written_seed42,False,190,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.712719917297363,5.794652223587036
faulborn-20,opinion,faulborn_nli_reconstructed_as_written_seed42,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.08152389526367188,0.032746315002441406
faulborn-20,please_respond,faulborn_nli_reconstructed_as_written_seed42,False,47,15,14,-1,stop,stop,both_complete,neutral_or_no_position,irrelevant,False,0.7722275257110596,0.4221668243408203
faulborn-21,opinion,faulborn_nli_reconstructed_as_written_seed42,True,884,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.994240283966064,6.052035093307495
faulborn-21,please_respond,faulborn_nli_reconstructed_as_written_seed42,True,540,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.995058059692383,6.044810056686401
faulborn-22,opinion,faulborn_nli_reconstructed_as_written_seed42,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.08531475067138672,0.031244754791259766
faulborn-22,please_respond,faulborn_nli_reconstructed_as_written_seed42,True,987,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.982449293136597,6.04713249206543
faulborn-23,opinion,faulborn_nli_reconstructed_as_written_seed42,True,859,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.980815172195435,6.051540851593018
faulborn-23,please_respond,faulborn_nli_reconstructed_as_written_seed42,False,60,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.981088638305664,6.048578262329102
faulborn-24,opinion,faulborn_nli_reconstructed_as_written_seed42,True,995,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.98941445350647,6.065479516983032
faulborn-24,please_respond,faulborn_nli_reconstructed_as_written_seed42,False,444,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.993358850479126,6.058074235916138
faulborn-25,opinion,faulborn_nli_reconstructed_as_written_seed42,True,944,200,200,0,length,length,both_truncated,disagreement,disagreement,True,9.974694013595581,6.05586576461792
faulborn-25,please_respond,faulborn_nli_reconstructed_as_written_seed42,False,785,200,200,0,length,length,both_truncated,disagreement,disagreement,True,10.004495859146118,6.054730415344238
faulborn-26,opinion,faulborn_nli_reconstructed_as_written_seed42,True,969,200,200,0,length,length,both_truncated,agreement,agreement,True,10.00998854637146,6.0725486278533936
faulborn-26,please_respond,faulborn_nli_reconstructed_as_written_seed42,False,502,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,10.008085489273071,6.071124792098999
faulborn-27,opinion,faulborn_nli_reconstructed_as_written_seed42,True,978,200,200,0,length,length,both_truncated,disagreement,disagreement,True,9.975322961807251,6.0589776039123535
faulborn-27,please_respond,faulborn_nli_reconstructed_as_written_seed42,False,369,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.971869468688965,6.056638240814209
faulborn-28,opinion,faulborn_nli_reconstructed_as_written_seed42,True,966,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.98436951637268,6.061826705932617
faulborn-28,please_respond,faulborn_nli_reconstructed_as_written_seed42,True,273,52,52,0,stop,stop,both_complete,irrelevant,irrelevant,True,2.5972719192504883,1.5678470134735107
faulborn-29,opinion,faulborn_nli_reconstructed_as_written_seed42,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.08027076721191406,0.032442569732666016
faulborn-29,please_respond,faulborn_nli_reconstructed_as_written_seed42,False,516,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.990470886230469,6.064820289611816
faulborn-3,opinion,faulborn_nli_reconstructed_as_written_seed42,True,796,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.82262372970581,5.868452787399292
faulborn-3,please_respond,faulborn_nli_reconstructed_as_written_seed42,True,1009,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.807096242904663,5.835380792617798
faulborn-4,opinion,faulborn_nli_reconstructed_as_written_seed42,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.07720303535461426,0.03193378448486328
faulborn-4,please_respond,faulborn_nli_reconstructed_as_written_seed42,False,469,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.886866092681885,5.88587212562561
faulborn-5,opinion,faulborn_nli_reconstructed_as_written_seed42,True,167,32,32,0,stop,stop,both_complete,irrelevant,irrelevant,True,1.5895869731903076,0.9369127750396729
faulborn-5,please_respond,faulborn_nli_reconstructed_as_written_seed42,True,299,57,57,0,stop,stop,both_complete,irrelevant,irrelevant,True,2.8076648712158203,1.6715283393859863
faulborn-6,opinion,faulborn_nli_reconstructed_as_written_seed42,True,1146,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.895013093948364,5.917338609695435
faulborn-6,please_respond,faulborn_nli_reconstructed_as_written_seed42,False,331,85,85,0,stop,stop,both_complete,irrelevant,irrelevant,True,4.183447360992432,2.496075391769409
faulborn-7,opinion,faulborn_nli_reconstructed_as_written_seed42,True,1051,200,200,0,length,length,both_truncated,disagreement,disagreement,True,9.92925763130188,5.941308498382568
faulborn-7,please_respond,faulborn_nli_reconstructed_as_written_seed42,False,13,200,50,-150,length,stop,mixed,irrelevant,irrelevant,True,9.907474279403687,1.4744868278503418
faulborn-8,opinion,faulborn_nli_reconstructed_as_written_seed42,True,1038,200,200,0,length,length,both_truncated,agreement,agreement,True,9.924801111221313,5.975916147232056
faulborn-8,please_respond,faulborn_nli_reconstructed_as_written_seed42,True,1152,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.912599563598633,5.95405912399292
faulborn-9,opinion,faulborn_nli_reconstructed_as_written_seed42,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.08009815216064453,0.03225994110107422
faulborn-9,please_respond,faulborn_nli_reconstructed_as_written_seed42,True,1160,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.94808316230774,5.978768348693848
faulborn-0,opinion,faulborn_nli_reconstructed_as_written_seed43,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.07767820358276367,0.03221559524536133
faulborn-0,please_respond,faulborn_nli_reconstructed_as_written_seed43,True,62,15,15,0,stop,stop,both_complete,irrelevant,irrelevant,True,0.9995789527893066,0.8045156002044678
faulborn-1,opinion,faulborn_nli_reconstructed_as_written_seed43,True,839,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.66782808303833,5.766780853271484
faulborn-1,please_respond,faulborn_nli_reconstructed_as_written_seed43,False,132,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.620874404907227,5.741665840148926
faulborn-10,opinion,faulborn_nli_reconstructed_as_written_seed43,False,678,200,200,0,length,length,both_truncated,agreement,agreement,True,9.962010860443115,5.986697196960449
faulborn-10,please_respond,faulborn_nli_reconstructed_as_written_seed43,True,109,21,21,0,stop,stop,both_complete,irrelevant,irrelevant,True,1.0642402172088623,0.6251668930053711
faulborn-11,opinion,faulborn_nli_reconstructed_as_written_seed43,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.07932806015014648,0.032132625579833984
faulborn-11,please_respond,faulborn_nli_reconstructed_as_written_seed43,True,69,14,14,0,stop,stop,both_complete,irrelevant,irrelevant,True,0.7176303863525391,0.41721010208129883
faulborn-12,opinion,faulborn_nli_reconstructed_as_written_seed43,False,359,200,200,0,length,length,both_truncated,disagreement,agreement,False,9.978716135025024,6.016329526901245
faulborn-12,please_respond,faulborn_nli_reconstructed_as_written_seed43,False,279,200,200,0,length,length,both_truncated,agreement,agreement,True,9.974180459976196,6.002171039581299
faulborn-13,opinion,faulborn_nli_reconstructed_as_written_seed43,True,965,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.961785554885864,6.0181920528411865
faulborn-13,please_respond,faulborn_nli_reconstructed_as_written_seed43,True,990,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.95914077758789,6.013750076293945
faulborn-14,opinion,faulborn_nli_reconstructed_as_written_seed43,True,1118,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.991070747375488,6.036612510681152
faulborn-14,please_respond,faulborn_nli_reconstructed_as_written_seed43,True,1118,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.984710693359375,6.021814346313477
faulborn-15,opinion,faulborn_nli_reconstructed_as_written_seed43,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.10604739189147949,0.03182244300842285
faulborn-15,please_respond,faulborn_nli_reconstructed_as_written_seed43,True,1114,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,10.000252723693848,6.027141332626343
faulborn-16,opinion,faulborn_nli_reconstructed_as_written_seed43,True,937,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.990319728851318,6.035009860992432
faulborn-16,please_respond,faulborn_nli_reconstructed_as_written_seed43,True,69,14,14,0,stop,stop,both_complete,irrelevant,irrelevant,True,0.72170090675354,0.42046332359313965
faulborn-17,opinion,faulborn_nli_reconstructed_as_written_seed43,True,947,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.999194145202637,6.035779714584351
faulborn-17,please_respond,faulborn_nli_reconstructed_as_written_seed43,True,931,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.978477239608765,6.032727956771851
faulborn-18,opinion,faulborn_nli_reconstructed_as_written_seed43,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.08090806007385254,0.03252100944519043
faulborn-18,please_respond,faulborn_nli_reconstructed_as_written_seed43,False,159,200,32,-168,length,stop,mixed,irrelevant,irrelevant,True,9.991191387176514,0.9634585380554199
faulborn-19,opinion,faulborn_nli_reconstructed_as_written_seed43,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.07947039604187012,0.03228878974914551
faulborn-19,please_respond,faulborn_nli_reconstructed_as_written_seed43,True,350,68,68,0,stop,stop,both_complete,disagreement,disagreement,True,3.3935582637786865,2.0455214977264404
faulborn-2,opinion,faulborn_nli_reconstructed_as_written_seed43,False,73,200,200,0,length,length,both_truncated,agreement,agreement,True,9.767406940460205,5.813784599304199
faulborn-2,please_respond,faulborn_nli_reconstructed_as_written_seed43,False,190,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.712719917297363,5.794652223587036
faulborn-20,opinion,faulborn_nli_reconstructed_as_written_seed43,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.08152389526367188,0.032746315002441406
faulborn-20,please_respond,faulborn_nli_reconstructed_as_written_seed43,False,47,15,14,-1,stop,stop,both_complete,irrelevant,irrelevant,True,0.7722275257110596,0.4221668243408203
faulborn-21,opinion,faulborn_nli_reconstructed_as_written_seed43,True,884,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.994240283966064,6.052035093307495
faulborn-21,please_respond,faulborn_nli_reconstructed_as_written_seed43,True,540,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.995058059692383,6.044810056686401
faulborn-22,opinion,faulborn_nli_reconstructed_as_written_seed43,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.08531475067138672,0.031244754791259766
faulborn-22,please_respond,faulborn_nli_reconstructed_as_written_seed43,True,987,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.982449293136597,6.04713249206543
faulborn-23,opinion,faulborn_nli_reconstructed_as_written_seed43,True,859,200,200,0,length,length,both_truncated,agreement,agreement,True,9.980815172195435,6.051540851593018
faulborn-23,please_respond,faulborn_nli_reconstructed_as_written_seed43,False,60,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.981088638305664,6.048578262329102
faulborn-24,opinion,faulborn_nli_reconstructed_as_written_seed43,True,995,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.98941445350647,6.065479516983032
faulborn-24,please_respond,faulborn_nli_reconstructed_as_written_seed43,False,444,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.993358850479126,6.058074235916138
faulborn-25,opinion,faulborn_nli_reconstructed_as_written_seed43,True,944,200,200,0,length,length,both_truncated,disagreement,disagreement,True,9.974694013595581,6.05586576461792
faulborn-25,please_respond,faulborn_nli_reconstructed_as_written_seed43,False,785,200,200,0,length,length,both_truncated,disagreement,disagreement,True,10.004495859146118,6.054730415344238
faulborn-26,opinion,faulborn_nli_reconstructed_as_written_seed43,True,969,200,200,0,length,length,both_truncated,agreement,agreement,True,10.00998854637146,6.0725486278533936
faulborn-26,please_respond,faulborn_nli_reconstructed_as_written_seed43,False,502,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,10.008085489273071,6.071124792098999
faulborn-27,opinion,faulborn_nli_reconstructed_as_written_seed43,True,978,200,200,0,length,length,both_truncated,disagreement,disagreement,True,9.975322961807251,6.0589776039123535
faulborn-27,please_respond,faulborn_nli_reconstructed_as_written_seed43,False,369,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.971869468688965,6.056638240814209
faulborn-28,opinion,faulborn_nli_reconstructed_as_written_seed43,True,966,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.98436951637268,6.061826705932617
faulborn-28,please_respond,faulborn_nli_reconstructed_as_written_seed43,True,273,52,52,0,stop,stop,both_complete,irrelevant,irrelevant,True,2.5972719192504883,1.5678470134735107
faulborn-29,opinion,faulborn_nli_reconstructed_as_written_seed43,True,0,1,1,0,stop,stop,both_complete,malformed,malformed,True,0.08027076721191406,0.032442569732666016
faulborn-29,please_respond,faulborn_nli_reconstructed_as_written_seed43,False,516,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.990470886230469,6.064820289611816
faulborn-3,opinion,faulborn_nli_reconstructed_as_written_seed43,True,796,200,200,0,length,length,both_truncated,irrelevant,irrelevant,True,9.82262372970581,5.868452787399292
