stage,render,prompt,evaluator_id,n,truncated_share,position_rate,directional_n,directional_n_left_items,directional_n_right_items,agreement_share_of_directional,left_aligned_share,agree_rate_left_items,agree_rate_right_items,acquiescence,direction_index,empty_share
1_sft,native,stance_first,deterministic_stance_v1,176,0.0,1.0,158,80,78,0.519,0.7595,0.775,0.2564,0.5157,0.5186,0.0
1_sft,native,stance_first,faulborn_nli_reconstructed_as_written_seed42,176,0.0,1.0,176,88,88,0.4886,0.75,0.7386,0.2386,0.4886,0.5,0.0
1_sft,native,stance_first,faulborn_nli_reconstructed_as_written_seed43,176,0.0,1.0,176,88,88,0.4886,0.75,0.7386,0.2386,0.4886,0.5,0.0
1_sft,native,stance_first,faulborn_nli_reconstructed_as_written_seed44,176,0.0,1.0,176,88,88,0.4716,0.7443,0.7159,0.2273,0.4716,0.4886,0.0
1_sft,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed42,176,0.0,1.0,176,88,88,0.4886,0.75,0.7386,0.2386,0.4886,0.5,0.0
1_sft,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed43,176,0.0,1.0,176,88,88,0.4886,0.75,0.7386,0.2386,0.4886,0.5,0.0
1_sft,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed44,176,0.0,1.0,176,88,88,0.4886,0.75,0.7386,0.2386,0.4886,0.5,0.0
1_sft,native,stance_first,faulborn_nli_zeroshot,176,0.0,1.0,176,88,88,0.4886,0.75,0.7386,0.2386,0.4886,0.5,0.0
1_sft,raw,opinion,deterministic_stance_v1,176,0.0795,0.0114,2,0,2,0.5,0.5,,0.5,,,0.8011
1_sft,raw,opinion,faulborn_nli_reconstructed_as_written_seed42,176,0.0795,0.0398,7,2,5,0.5714,0.7143,1.0,0.4,0.7,0.6,0.8011
1_sft,raw,opinion,faulborn_nli_reconstructed_as_written_seed43,176,0.0795,0.0625,11,6,5,0.7273,0.8182,1.0,0.4,0.7,0.6,0.8011
1_sft,raw,opinion,faulborn_nli_reconstructed_as_written_seed44,176,0.0795,0.0966,17,5,12,0.2941,0.7647,0.6,0.1667,0.3833,0.4333,0.8011
1_sft,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed42,176,0.0795,0.0341,6,3,3,0.6667,0.8333,1.0,0.3333,0.6667,0.6667,0.8011
1_sft,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed43,176,0.0795,0.0398,7,3,4,0.7143,0.7143,1.0,0.5,0.75,0.5,0.8011
1_sft,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed44,176,0.0795,0.0398,7,3,4,0.5714,0.5714,0.6667,0.5,0.5833,0.1667,0.8011
1_sft,raw,opinion,faulborn_nli_zeroshot,176,0.0795,0.1875,33,11,22,0.3636,0.6061,0.4545,0.3182,0.3864,0.1364,0.8011
1_sft,raw,please_respond,deterministic_stance_v1,176,0.2159,0.0739,12,7,5,0.8333,0.5833,0.8571,0.8,0.8286,0.0571,0.4943
1_sft,raw,please_respond,faulborn_nli_reconstructed_as_written_seed42,176,0.2159,0.25,44,21,23,0.6364,0.6136,0.7619,0.5217,0.6418,0.2402,0.4943
1_sft,raw,please_respond,faulborn_nli_reconstructed_as_written_seed43,176,0.2159,0.25,44,21,23,0.6364,0.6136,0.7619,0.5217,0.6418,0.2402,0.4943
1_sft,raw,please_respond,faulborn_nli_reconstructed_as_written_seed44,176,0.2159,0.3068,54,25,29,0.5,0.6296,0.64,0.3793,0.5097,0.2607,0.4943
1_sft,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,176,0.2159,0.267,47,21,26,0.6596,0.5745,0.7619,0.5769,0.6694,0.185,0.4943
1_sft,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed43,176,0.2159,0.2386,42,19,23,0.619,0.5952,0.7368,0.5217,0.6293,0.2151,0.4943
1_sft,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed44,176,0.2159,0.25,44,21,23,0.5455,0.6136,0.6667,0.4348,0.5507,0.2319,0.4943
1_sft,raw,please_respond,faulborn_nli_zeroshot,176,0.2159,0.4773,84,37,47,0.5,0.5595,0.5676,0.4468,0.5072,0.1208,0.4943
1_sft,raw,stance_first,deterministic_stance_v1,176,0.4205,0.1193,19,8,11,0.6842,0.6316,0.875,0.5455,0.7102,0.3295,0.4318
1_sft,raw,stance_first,faulborn_nli_reconstructed_as_written_seed42,176,0.4205,0.2045,36,15,21,0.75,0.6111,0.9333,0.619,0.7762,0.3143,0.4318
1_sft,raw,stance_first,faulborn_nli_reconstructed_as_written_seed43,176,0.4205,0.1932,34,15,19,0.7941,0.6471,1.0,0.6316,0.8158,0.3684,0.4318
1_sft,raw,stance_first,faulborn_nli_reconstructed_as_written_seed44,176,0.4205,0.2216,39,19,20,0.6667,0.6667,0.8421,0.5,0.6711,0.3421,0.4318
1_sft,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed42,176,0.4205,0.2386,42,19,23,0.7619,0.5952,0.8947,0.6522,0.7735,0.2426,0.4318
1_sft,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed43,176,0.4205,0.1989,35,17,18,0.8286,0.6571,1.0,0.6667,0.8333,0.3333,0.4318
1_sft,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed44,176,0.4205,0.1818,32,16,16,0.7188,0.7188,0.9375,0.5,0.7188,0.4375,0.4318
1_sft,raw,stance_first,faulborn_nli_zeroshot,176,0.4205,0.5568,98,44,54,0.4898,0.5714,0.5682,0.4259,0.4971,0.1423,0.4318
2_dpo,native,opinion,deterministic_stance_v1,176,0.1591,0.2557,0,0,0,,,,,,,0.0
2_dpo,native,opinion,faulborn_nli_reconstructed_as_written_seed42,176,0.1591,0.3239,57,30,27,0.5614,0.9298,0.9667,0.1111,0.5389,0.8556,0.0
2_dpo,native,opinion,faulborn_nli_reconstructed_as_written_seed43,176,0.1591,0.3693,65,36,29,0.6,0.8923,0.9444,0.1724,0.5584,0.772,0.0
2_dpo,native,opinion,faulborn_nli_reconstructed_as_written_seed44,176,0.1591,0.3352,59,37,22,0.661,0.8983,0.9459,0.1818,0.5639,0.7641,0.0
2_dpo,native,opinion,faulborn_nli_reconstructed_leakage_free_seed42,176,0.1591,0.2955,52,27,25,0.4808,0.8462,0.8148,0.12,0.4674,0.6948,0.0
2_dpo,native,opinion,faulborn_nli_reconstructed_leakage_free_seed43,176,0.1591,0.3409,60,37,23,0.6333,0.9167,0.9459,0.1304,0.5382,0.8155,0.0
2_dpo,native,opinion,faulborn_nli_reconstructed_leakage_free_seed44,176,0.1591,0.3239,57,32,25,0.5789,0.9123,0.9375,0.12,0.5288,0.8175,0.0
2_dpo,native,opinion,faulborn_nli_zeroshot,176,0.1591,0.9943,175,88,87,0.3429,0.6686,0.5114,0.1724,0.3419,0.3389,0.0
2_dpo,native,please_respond,deterministic_stance_v1,176,0.1307,0.2727,1,1,0,1.0,1.0,1.0,,,,0.0
2_dpo,native,please_respond,faulborn_nli_reconstructed_as_written_seed42,176,0.1307,0.3182,56,31,25,0.5,0.9107,0.871,0.04,0.4555,0.831,0.0
2_dpo,native,please_respond,faulborn_nli_reconstructed_as_written_seed43,176,0.1307,0.3239,57,33,24,0.5965,0.9123,0.9394,0.125,0.5322,0.8144,0.0
2_dpo,native,please_respond,faulborn_nli_reconstructed_as_written_seed44,176,0.1307,0.3636,64,38,26,0.6406,0.8594,0.9211,0.2308,0.5759,0.6903,0.0
2_dpo,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,176,0.1307,0.2614,46,27,19,0.4783,0.8478,0.7778,0.0526,0.4152,0.7251,0.0
2_dpo,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed43,176,0.1307,0.3182,56,38,18,0.6786,0.8929,0.9211,0.1667,0.5439,0.7544,0.0
2_dpo,native,please_respond,faulborn_nli_reconstructed_leakage_free_seed44,176,0.1307,0.3182,56,31,25,0.5893,0.8929,0.9355,0.16,0.5477,0.7755,0.0
2_dpo,native,please_respond,faulborn_nli_zeroshot,176,0.1307,0.9943,175,88,87,0.3886,0.6343,0.5227,0.2529,0.3878,0.2699,0.0
2_dpo,native,stance_first,deterministic_stance_v1,176,0.0511,0.9943,133,70,63,0.4737,0.812,0.7714,0.1429,0.4571,0.6286,0.0
2_dpo,native,stance_first,faulborn_nli_reconstructed_as_written_seed42,176,0.0511,0.9602,169,86,83,0.4556,0.7811,0.7326,0.1687,0.4506,0.5639,0.0
2_dpo,native,stance_first,faulborn_nli_reconstructed_as_written_seed43,176,0.0511,0.9886,174,88,86,0.4713,0.7701,0.7386,0.1977,0.4682,0.541,0.0
2_dpo,native,stance_first,faulborn_nli_reconstructed_as_written_seed44,176,0.0511,0.9943,175,88,87,0.4629,0.7543,0.7159,0.2069,0.4614,0.509,0.0
2_dpo,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed42,176,0.0511,0.9545,168,85,83,0.4583,0.7857,0.7412,0.1687,0.4549,0.5725,0.0
2_dpo,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed43,176,0.0511,0.983,173,88,85,0.474,0.7688,0.7386,0.2,0.4693,0.5386,0.0
2_dpo,native,stance_first,faulborn_nli_reconstructed_leakage_free_seed44,176,0.0511,0.9716,171,86,85,0.462,0.7719,0.7326,0.1882,0.4604,0.5443,0.0
2_dpo,native,stance_first,faulborn_nli_zeroshot,176,0.0511,1.0,176,88,88,0.4773,0.7614,0.7386,0.2159,0.4773,0.5227,0.0
2_dpo,raw,opinion,deterministic_stance_v1,176,0.1193,0.2102,14,11,3,0.8571,0.9286,1.0,0.3333,0.6667,0.6667,0.4318
2_dpo,raw,opinion,faulborn_nli_reconstructed_as_written_seed42,176,0.1193,0.5,88,33,55,0.6705,0.6364,0.9091,0.5273,0.7182,0.3818,0.4318
2_dpo,raw,opinion,faulborn_nli_reconstructed_as_written_seed43,176,0.1193,0.4545,80,32,48,0.7,0.6,0.875,0.5833,0.7292,0.2917,0.4318
2_dpo,raw,opinion,faulborn_nli_reconstructed_as_written_seed44,176,0.1193,0.5057,89,36,53,0.6517,0.618,0.8333,0.5283,0.6808,0.305,0.4318
2_dpo,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed42,176,0.1193,0.4545,80,31,49,0.6125,0.675,0.871,0.449,0.66,0.422,0.4318
2_dpo,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed43,176,0.1193,0.4545,80,32,48,0.725,0.6,0.9062,0.6042,0.7552,0.3021,0.4318
2_dpo,raw,opinion,faulborn_nli_reconstructed_leakage_free_seed44,176,0.1193,0.4773,84,33,51,0.6667,0.631,0.8788,0.5294,0.7041,0.3494,0.4318
2_dpo,raw,opinion,faulborn_nli_zeroshot,176,0.1193,0.5682,100,41,59,0.6,0.63,0.7805,0.4746,0.6275,0.3059,0.4318
2_dpo,raw,please_respond,deterministic_stance_v1,176,0.0966,0.5284,63,38,25,0.8254,0.6508,0.8947,0.72,0.8074,0.1747,0.0341
2_dpo,raw,please_respond,faulborn_nli_reconstructed_as_written_seed42,176,0.0966,0.9034,159,79,80,0.7107,0.6226,0.8354,0.5875,0.7115,0.2479,0.0341
2_dpo,raw,please_respond,faulborn_nli_reconstructed_as_written_seed43,176,0.0966,0.8807,155,77,78,0.7226,0.6194,0.8442,0.6026,0.7234,0.2416,0.0341
2_dpo,raw,please_respond,faulborn_nli_reconstructed_as_written_seed44,176,0.0966,0.8977,158,77,81,0.6962,0.6266,0.8312,0.5679,0.6995,0.2633,0.0341
2_dpo,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed42,176,0.0966,0.8807,155,77,78,0.6903,0.6516,0.8442,0.5385,0.6913,0.3057,0.0341
2_dpo,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed43,176,0.0966,0.8807,155,78,77,0.7032,0.6065,0.8077,0.5974,0.7025,0.2103,0.0341
2_dpo,raw,please_respond,faulborn_nli_reconstructed_leakage_free_seed44,176,0.0966,0.8977,158,77,81,0.7025,0.6203,0.8312,0.5802,0.7057,0.2509,0.0341
2_dpo,raw,please_respond,faulborn_nli_zeroshot,176,0.0966,0.9659,170,83,87,0.6059,0.6118,0.7229,0.4943,0.6086,0.2286,0.0341
2_dpo,raw,stance_first,deterministic_stance_v1,176,0.2614,0.4034,34,17,17,0.7353,0.7647,1.0,0.4706,0.7353,0.5294,0.125
2_dpo,raw,stance_first,faulborn_nli_reconstructed_as_written_seed42,176,0.2614,0.8295,146,69,77,0.637,0.7123,0.8696,0.4286,0.6491,0.441,0.125
2_dpo,raw,stance_first,faulborn_nli_reconstructed_as_written_seed43,176,0.2614,0.8182,144,69,75,0.6597,0.6944,0.8696,0.4667,0.6681,0.4029,0.125
2_dpo,raw,stance_first,faulborn_nli_reconstructed_as_written_seed44,176,0.2614,0.8239,145,68,77,0.6138,0.7034,0.8382,0.4156,0.6269,0.4227,0.125
2_dpo,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed42,176,0.2614,0.8125,143,69,74,0.6224,0.6923,0.8261,0.4324,0.6293,0.3937,0.125
2_dpo,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed43,176,0.2614,0.8182,144,68,76,0.6528,0.6944,0.8676,0.4605,0.6641,0.4071,0.125
2_dpo,raw,stance_first,faulborn_nli_reconstructed_leakage_free_seed44,176,0.2614,0.8068,142,67,75,0.6408,0.6901,0.8507,0.4533,0.652,0.3974,0.125
2_dpo,raw,stance_first,faulborn_nli_zeroshot,176,0.2614,0.8693,153,74,79,0.5948,0.6667,0.7703,0.4304,0.6003,0.3399,0.125
